ph,turbidity,tds,label
,2.9631353806316407,20791.318980747026,0
3.716080075,4.500656274942408,18630.057857970347,0
8.099124189298397,3.0559337496641685,19909.541732292393,0
8.316765884214679,4.628770536837084,22018.417440775294,0
9.092223456290965,4.075075425430034,17978.98633892625,0
5.584086638456089,2.5597082275565217,28748.68773904612,0
10.223862164528773,2.672988736934779,28749.716543528233,0
8.635848718500734,4.401424715445482,13672.091763901635,0
,3.5950171809576155,14285.583854224515,0
11.180284470721592,4.370561936655497,25484.50849098786,0
7.360640105838258,3.6622917828524573,32452.614409143884,0
7.974521648923869,4.011718108339787,18767.65668181348,0
7.119824384264552,3.445756223321899,18730.813653342713,0
,4.413974182974902,27331.361961927756,0
7.496232208,4.777382337225378,28388.00488673697,0
6.347271760539316,4.376348290691898,41065.23476453935,0
7.051785800016845,4.268428857506186,30980.600786788862,0
9.181560007151536,4.503660796179122,24041.32628006128,0
8.975464347533963,2.4360855903052734,19460.398131232112,0
7.371050302429531,2.5602991476149146,25630.320036999725,0
,4.133422644,22305.56741374141,0
6.660212026118103,3.7497012410996176,30944.363591242687,0
,5.459250956028731,17107.224225827616,0
3.902475685915096,4.528522696326911,21167.500098968772,0
5.400301780729467,4.824786389767524,17266.593421923077,0
6.514415093251676,5.200885076539757,21218.702871190195,0
3.4450618643852127,4.184396969028851,33424.76868,0
,4.004871127571583,13224.935638976958,0
,3.9915642477993067,26362.965012309312,0
,6.0381849531835865,15193.41347396722,0
7.181448580829175,5.088859989138795,15196.229987483843,0
9.825489908,2.857472426051184,19677.892465552013,0
10.433290982804381,5.057310516515726,22326.892045718654,0
7.414148196336244,3.160624468232638,32555.852537073686,0
,5.029166724080735,14787.206264858174,0
5.115817063771218,3.9020887676437543,19620.545328612152,0
3.641629777473381,3.4643530351550234,24752.072459755404,0
5.618064405909149,2.8965469413044738,17281.97516841161,0
,2.907563915,19942.273218184837,0
9.267187530763547,4.324004645618281,24683.723566029654,0
,3.510004044590529,11703.923907047854,0
5.331940479018537,4.434820257956548,16658.876503163574,0
7.145771545218821,5.182590703980226,28780.340431632725,0
9.920691058768153,4.69070723,9973.934059208537,0
4.758439424671477,4.542801461749175,21568.428779035887,0
5.702925976824722,4.137739016206605,35606.44017680798,0
6.953864225511059,3.195710328196264,10575.18628088936,0
10.68296642580598,3.9997753815500605,15758.740621388917,0
,4.405586,34415.853145873094,0
8.757257397440991,3.6261354416122304,21536.224687445414,0
,3.0480572231069756,27492.30730658781,0
7.809631898,2.447444463910633,12013.550628764531,0
6.652488090855707,3.7420904263496677,19871.788448305862,0
9.147197055336921,3.7945315911032105,11920.610835646206,0
10.560744636218196,3.9646863500221285,21783.651033363374,0
7.484254837727466,4.781188176562564,30616.615148853696,0
8.520806572970303,3.9406045297946832,28779.65001,0
4.999413810796919,4.460683931737437,24323.865903045946,0
,4.4053857056590315,16963.625011737488,0
,4.089907689677867,20557.240431752216,0
3.9060783549561697,3.902879711657464,32144.799933618317,0
6.391353623832183,3.923749169,20965.478308853573,0
,3.8556022119166995,35729.692708630326,0
8.692092012708041,4.477960248233931,24656.239679444574,0
8.085759800882219,4.068688909481666,32653.910360267586,0
6.2039777022783476,5.215689206119035,21815.07414790552,0
5.058108868565138,5.106655774420084,34873.93452,0
,4.620793451653219,27420.16742458204,0
,3.4397400415499195,12830.484133775428,0
7.261550522070718,3.636364182680497,24964.777703096523,0
7.160467231,3.8848910441472793,6743.346065530401,0
5.704764776213017,4.157533407489738,33223.58152874991,0
6.217273135,5.325833445695803,19460.38281898756,0
8.679934969964185,3.873470298448302,22984.05095148243,0
,4.655916598688822,14859.46642428366,0
6.897322141100197,5.022783630004574,25650.777643120262,0
3.514545528745279,3.762615331099367,23029.663613563633,0
3.722500486,3.6628377319913588,37962.16799126102,0
6.455004797496717,2.2934314064128625,24468.048390354594,0
7.316804753880919,3.508372649783596,31903.399811532247,0
1.844538366498842,5.013463351103733,28689.595777682935,0
5.519125656437607,3.758995860323916,12531.60192106475,0
7.408985466924612,3.772420927989514,9566.122270169199,0
5.976769618087598,2.9946710955082176,27267.981860954154,0
6.395359131671062,4.191217514711704,23827.275015402887,0
6.209642259708484,3.6125196149467147,13116.707711787023,0
6.762832521891738,4.916579160751283,27159.384345233535,0
9.918717064,3.385508443856719,21470.278305413278,0
10.15544017022192,5.002467259922081,12652.362978658088,0
8.721726710620581,2.5550269039968736,28608.052076372544,0
,4.383921813522324,17153.306163452093,0
,3.355164642176155,29721.911630350132,0
6.099646705468387,3.1727897691528772,20416.84099619073,0
9.026787719511633,2.0190420182011657,27965.07214592841,0
6.953371603389549,3.651865808422898,11609.109054527797,0
6.140877556947864,5.359460295012964,26687.87448333394,0
7.077874006530455,4.764508264921448,23873.378210133662,0
5.488314309012512,5.066786271784542,21485.153195191073,0
7.205559174588729,3.710053125679874,24627.867560468938,0
9.177869865892433,3.1087699879134547,20868.331218998803,0
4.270716194733736,3.763905902952325,24405.250534952756,0
7.348844511550613,4.880875156180851,11519.046527356593,0
8.526169869777789,5.083014141516923,11837.12335960845,0
,3.995973787492761,36152.8209,0
2.612035914817261,4.765205370159007,34798.25258680311,0
8.490571562027739,3.8755568051367746,22989.796389946638,0
,3.3985925873166565,22539.71161451215,0
8.858401531200467,5.525726338121716,9624.300462110114,0
6.098156521,3.9773623643299727,27776.901051693392,0
8.419970682,3.962478314282775,13237.989604570806,0
9.286155021432371,5.239981870081682,12311.268365978076,0
7.875895135481787,4.238589203481521,12710.249451611751,0
7.7253329080747575,3.7248367036446997,36477.738112419094,0
3.388090610523891,2.798600948267049,20230.125576951767,0
6.745306715080959,3.9023525898765015,21871.838700042495,0
,5.6290156360573285,28062.641892040356,0
7.183825723393187,4.597165511526862,14100.968986979937,0
10.111976704648654,3.425763242173682,15331.302691753157,0
7.397413298543417,3.149157510432673,8855.114121331366,0
7.812804388310308,6.204846358828904,42550.841815771775,0
6.877456932576713,3.8276500717354445,27433.587294151766,0
,4.664350321001553,16367.458371975481,0
,4.197595209206819,27418.781044480063,0
7.521051678672175,2.8807853472938367,26865.37374090525,0
8.550875469289338,3.7728866074587684,28918.419953077177,0
10.308477656813704,3.285077052469842,27653.235184410696,0
,5.052736766116998,29368.674184052215,0
7.371085073209565,4.4125895367028125,24913.837165890054,0
11.180694664461903,3.8098416540991424,16600.392746647067,0
6.506487766502467,3.5487755887477364,17087.076901837234,0
6.643935774662305,3.8129529259917896,10909.194592323076,0
5.033773989751668,3.2449484773190633,34971.80748262682,0
6.912607562,2.6122489531921698,17973.178859011827,0
7.977635990880497,3.552129499701653,32170.06916009624,0
6.078335836509272,4.201580906,35957.79218259479,0
6.242414484103846,4.5087050978944845,28149.411791622882,0
6.063354789891076,3.4673369148168574,14775.14559575291,0
8.129585513966727,3.3625371351987914,27834.21769634046,0
9.562405943789521,3.7627198370300334,13041.829140394102,0
8.167792632308252,4.289395484098247,27141.362902943478,0
8.594416135206476,3.568991707976406,15791.675351127244,0
,3.6797950347550294,20944.620814413163,0
6.825467900630395,3.027449578045163,46140.12684950231,0
7.861177700998561,4.157656628375073,25145.024124785556,0
