ph,turbidity,tds,status
7.621886832,2.881434708,580.8047873,0
7.084006358,1.541426127,544.7008183,0
7.800180478,2.171053868,757.635915,0
7.876225887,4.267820755,717.3445898,0
6.719585925,3.005986582,436.4014322,1
6.979128197,3.680419954,931.5067872,0
7.551136161,4.340158484,646.6088986,0
7.373502963,2.250317074,476.6205451,1
7.493279537,4.512496327,950.1646015,0
7.158782429,3.757685207,802.4765806,0
7.85175919,0.530373826,455.1547188,1
7.811116774,5.884609582,1133.601319,0
7.526412279,1.998510512,810.4901682,0
7.950896483,0.310190686,663.1101833,0
7.687003737,0.909912581,1071.768795,0
7.156283015,0.957909679,697.7000867,0
7.647500314,3.104346637,659.5614058,0
7.11644696,2.452298989,545.6130174,0
7.851380121,2.326336065,791.9950421,0
7.480029636,4.239403931,767.3790598,0
7.426055055,3.679750722,668.0774046,0
7.227628182,3.632095741,524.7931022,0
7.989016535,3.819656915,691.5800839,0
7.438188207,4.232269336,651.3586188,0
7.328668871,1.215906684,445.8389127,1
7.35914658,2.271123495,427.7146615,1
7.712923674,1.360420129,788.0377648,0
7.646177626,3.072119854,304.7322449,1
7.665093045,2.990734056,707.4190161,0
7.672328401,5.09106455,576.269298,0
8.35665904,5.375268785,984.8348696,0
7.337433993,3.405550097,573.6156296,0
7.295102908,1.999277845,810.6571899,0
7.174490909,3.970322225,590.4741437,0
7.746391769,1.944164725,688.2309371,0
7.951588917,2.997214697,829.6890228,0
7.454421017,4.972272634,578.9599389,0
7.163937409,1.884457308,896.9198147,0
7.170207514,4.611357278,493.6815318,1
7.760237115,4.354802737,726.6012592,0
7.797301668,1.090416366,877.2499144,0
7.717261707,4.947788256,810.7917566,0
7.233796117,4.397132691,1181.964854,0
7.592864529,3.203851775,528.9893,0
7.546674324,1.475353084,439.7714783,1
7.587475439,1.281587963,493.587164,1
7.848571511,1.924674846,810.890292,0
7.58943822,4.085188927,772.3029384,0
7.771565425,1.088749665,685.8623817,0
7.527031628,3.875024497,474.9040983,1
7.615647759,0.516488942,837.1976537,0
7.75251529,2.591862831,460.6269824,1
6.917137672,3.219295509,941.6982317,0
7.372131513,7.89026029,1567.490994,0
7.311850938,0.245368689,742.4350143,0
7.244448861,5.944029133,792.2939252,0
7.3899431,3.299684828,573.7203425,0
8.097976524,3.822343836,386.4243058,1
7.153667554,3.236695827,555.1199359,0
7.887311342,3.889453636,479.2064122,1
6.826852091,2.692629791,430.9097309,1
7.366045988,5.908100363,1115.109608,0
7.565101226,2.087057712,721.8798811,0
7.734488933,5.264469144,745.3890331,0
7.784490632,1.71126576,606.2505142,0
7.817338894,2.879496307,631.5257237,0
7.360509971,0.856074895,888.3494627,0
7.315059283,3.910047441,658.7202018,0
7.843190353,5.890251914,779.933127,0
7.42347827,2.84528764,627.1581305,0
6.989725471,2.606228603,600.2547406,0
7.046685114,0.770766074,436.1236266,1
7.132219086,2.541414693,367.4823467,1
7.698864298,0.185588519,614.9441371,0
7.556970294,1.174244027,676.5112029,0
7.776194142,3.453572092,452.2164736,1
7.329098941,5.638026395,658.2978842,0
7.563415876,8.618421722,675.9545019,0
7.750236158,1.82682983,348.3464736,1
7.376261384,5.870600313,505.4568138,0
7.682710095,3.487504961,751.5811355,0
7.235229624,2.697504707,747.039169,0
7.354778461,3.865188903,470.5477893,1
7.347304842,3.123832967,697.5222516,0
7.021664142,3.220791451,903.9031029,0
7.694788992,2.183333674,839.7648294,0
7.312239064,0.20378068,646.3972571,0
7.504997647,0.087250405,578.0192115,0
7.692298664,4.306489767,550.7035567,0
7.67861247,2.44659982,765.3597118,0
7.766154044,1.807822201,705.2350785,0
7.460605806,3.017011253,803.3746772,0
7.330680675,4.589864506,691.9835225,0
7.468112716,3.360727886,850.3339759,0
6.825066226,1.687890127,684.2872324,0
6.921155011,5.452585911,841.6856564,0
6.970920155,6.158371006,863.7184357,0
7.101101269,3.989113311,522.5088967,0
7.659909691,4.947327023,386.6642657,1
7.137808378,5.483919994,1056.84978,0
7.348734978,5.260198633,718.3792401,0
