ph,turbidity,tds,status
7.213301956,2.389356191,725.6811167,0
6.272011126,2.340248346,964.7341112,0
7.525315837,1.918742539,378.7026242,1
7.658395301,3.367738545,610.2458297,1
5.634275368,3.056660848,942.0124305,0
6.088474345,1.227126369,688.9616255,0
7.089488282,1.190337645,1202.185637,0
6.778630185,3.361348479,370.9249073,1
6.98823919,1.808245043,347.3636272,1
6.402869251,3.161417736,920.7524853,0
7.615578582,4.016720562,960.5001251,1
7.544454355,1.439827884,622.8623003,0
7.046221488,1.342094392,787.3845585,0
7.789068845,6.27903208,927.5227402,0
7.32725654,3.240687153,496.5244777,1
6.398495276,2.204233152,512.3492021,1
7.258125549,1.704087495,726.1047659,0
6.328782179,2.105977175,965.4575411,0
7.614915211,1.498873509,424.7158565,1
6.965051862,4.227902838,635.6468994,0
6.870596346,1.843423468,612.4512176,0
6.523349319,4.696263977,809.6596439,0
7.855778937,2.224841195,673.9556012,0
6.891829363,1.613369595,,0
6.700170524,2.196464904,,0
6.753506515,0.731920492,539.7468952,0
7.37261643,2.558997836,604.5906778,0
7.255810845,2.49662646,364.4021007,1
7.288912828,4.105679969,520.4991761,0
7.301574702,1.058494416,822.9392492,0
8.499153321,4.859488476,780.4482086,0
6.715509489,4.097182931,865.8833006,0
6.64143009,5.083610726,854.5612834,0
6.43035909,2.647562253,1546.396846,0
7.431185596,4.512938155,515.7359369,0
7.790280605,1.302620471,354.5228544,1
6.92023678,3.882672801,456.3458992,1
6.411890466,1.848581557,511.21236,0
6.422863149,1.190411545,456.4120318,0
7.455414951,1.549496037,698.2808779,0
7.52027792,2.72580983,1111.427409,0
7.380207988,1.800114719,1240.347153,1
6.534143205,3.280634228,830.2103043,0
7.162512926,1.100628326,1571.861812,0
7.081680066,0.938428349,581.4662967,0
7.153082018,5.398891837,373.1860606,1
7.610000145,,1034.963814,0
7.156516884,1.608579646,326.8423551,1
,2.714207946,505.334973,0
7.047305349,4.525615229,841.5959794,1
7.202383579,3.352144546,655.2133047,0
7.441901758,2.927390899,630.8661068,0
5.979990926,,438.2536835,0
6.776230149,1.886350033,671.705536,0
6.670739142,2.760989761,1007.534408,1
6.552785506,2.694130939,683.9461577,0
6.807400424,2.37172841,489.0462149,1
8.046458918,,415.0107815,1
6.393918219,2.819146329,495.2375979,0
7.677794848,2.765451044,791.9882998,0
5.82199116,1.609278881,771.1859398,0
6.765580479,4.058842989,503.188211,0
7.113927146,1.668303757,283.0460893,1
7.410355632,2.437281497,799.0108136,0
7.497858606,2.345174385,476.2051938,1
7.555343065,3.251289888,892.4832758,0
6.755892449,0.942186567,496.2572361,1
,,469.2397822,1
7.600583117,1.937706052,716.8568849,0
6.866086973,5.002719414,1733.015848,0
6.107019574,2.14023907,908.2001866,0
6.20669895,2.652700578,715.6527404,0
,7.077303829,,0
7.348012521,2.366307908,341.9837049,1
7.099698015,5.050185334,449.8153902,0
7.483339748,2.771870998,257.4839399,1
6.700923148,,1345.420102,0
7.110977784,2.815047949,1239.391684,0
7.437913276,4.153393925,799.0789217,0
6.783457422,1.929448467,711.7263181,1
7.319742666,,365.8913651,1
6.536651841,1.975283446,619.1576868,0
6.745862307,2.857237326,1376.623003,0
6.732783474,,,0
6.162912248,3.877293808,550.0570286,0
7.340880737,5.219313344,355.3315517,0
6.671418362,1.668759993,1163.651843,0
7.008745883,1.883300088,656.1708069,0
7.336522661,1.325620022,336.0391816,1
,7.502126363,497.0817612,1
7.465769576,3.165575114,414.8372028,1
6.931060161,3.455271929,648.2742945,1
6.703691182,1.390823208,729.6117595,0
6.944197252,2.716692114,557.4550522,1
